,merchant_id,Cluster_k22_GMM_AIC_BIC
18005,M_ID_211e76b81e,0
18006,M_ID_211e95df77,13
18007,M_ID_211f0d663d,15
18008,M_ID_212097e423,15
18009,M_ID_212256a4c0,16
18010,M_ID_21234ee035,13
18011,M_ID_2123b7734c,17
18012,M_ID_21247dc8bd,0
18013,M_ID_2124aa7544,1
18014,M_ID_2124b90cd4,13
18015,M_ID_2126f283da,17
18016,M_ID_212762723c,8
18017,M_ID_21277b11dc,17
18018,M_ID_212851d172,1
18019,M_ID_21286186ce,0
18020,M_ID_212a34ec72,13
18021,M_ID_212a53f301,17
18022,M_ID_212a730e53,12
18023,M_ID_212ba20e01,16
18024,M_ID_212ba27aa8,8
18025,M_ID_212bad72e7,14
18026,M_ID_212c71e8d3,10
18027,M_ID_212d8991ff,2
18028,M_ID_212e363604,15
18029,M_ID_212e61584c,13
18030,M_ID_212e92698e,8
18031,M_ID_212edfc71a,15
18032,M_ID_212ee04ba6,11
18033,M_ID_212fe877f9,6
18034,M_ID_21304a6dbb,15
18035,M_ID_213071a6c4,14
18036,M_ID_21325ca1d5,11
18037,M_ID_2135de3b2e,19
18038,M_ID_2135e77fcc,15
18039,M_ID_2136253e6c,13
18040,M_ID_21365ade49,11
18041,M_ID_2137216769,15
18042,M_ID_2137d6cf84,12
18043,M_ID_21381fc8cb,13
18044,M_ID_21382a4d08,13
18045,M_ID_21382e6b36,13
18046,M_ID_2139d82bda,15
18047,M_ID_213ad11f88,0
18048,M_ID_213b06cd61,1
18049,M_ID_213b6a8b7c,9
18050,M_ID_213cd2b776,6
18051,M_ID_213cf5c913,13
18052,M_ID_213cf96bf4,17
18053,M_ID_213d542613,11
18054,M_ID_213e2a4ce3,17
18055,M_ID_213ea2201b,15
18056,M_ID_213eb50d6d,14
18057,M_ID_213ebfcde9,15
18058,M_ID_213f287adf,17
18059,M_ID_213fdf4052,8
18060,M_ID_2141fde63e,13
18061,M_ID_2142e2641c,11
18062,M_ID_2144a1aa25,8
18063,M_ID_21453eb444,1
18064,M_ID_2145a4bc3b,8
18065,M_ID_214636ff6d,11
18066,M_ID_21484b9540,13
18067,M_ID_214876772a,9
18068,M_ID_2149529ef5,17
18069,M_ID_2149e43f9e,10
18070,M_ID_2149fc459b,1
18071,M_ID_214b32786e,0
18072,M_ID_214c88a07b,17
18073,M_ID_214cb64a0a,1
18074,M_ID_214ec2dab6,17
18075,M_ID_214ef8b4e1,0
18076,M_ID_214f3a671c,0
18077,M_ID_214f6cbc23,6
18078,M_ID_214ff7f732,1
18079,M_ID_215037aae1,19
18080,M_ID_21513ced17,17
18081,M_ID_215152b9ff,15
18082,M_ID_2151da0471,14
18083,M_ID_21521653a1,10
18084,M_ID_215280c675,9
18085,M_ID_2152a2b5ef,1
18086,M_ID_2152d6c2ae,14
18087,M_ID_2152d8a46a,13
18088,M_ID_21531534b5,0
18089,M_ID_2153e940ee,1
18090,M_ID_215687f0ad,12
18091,M_ID_2157777b84,12
18092,M_ID_2158550309,6
18093,M_ID_21594b69ea,8
18094,M_ID_215953b6de,8
18095,M_ID_2159e42d48,21
18096,M_ID_215b0ec3f2,2
18097,M_ID_215b8ada4a,13
18098,M_ID_215c0867f6,1
18099,M_ID_215c3c67f1,14
18100,M_ID_215c8055d2,1
18101,M_ID_215c985425,6
18102,M_ID_215d2c7387,15
18103,M_ID_215da41c3d,12
18104,M_ID_215e60452a,17
18105,M_ID_215e7b0580,1
18106,M_ID_215ea5e8e0,12
18107,M_ID_215f02ede4,11
18108,M_ID_215f1d01c4,6
18109,M_ID_215fcaabef,20
18110,M_ID_21605d9d75,20
18111,M_ID_216083b534,10
18112,M_ID_216105b5c2,17
18113,M_ID_216168504c,13
18114,M_ID_2162281d63,2
18115,M_ID_2162eed795,11
18116,M_ID_21631d60e4,13
18117,M_ID_2163487732,6
18118,M_ID_2164599d80,13
18119,M_ID_2166a64525,8
18120,M_ID_2166e4ee1e,8
18121,M_ID_21675ca2eb,13
18122,M_ID_21678c2239,17
18123,M_ID_216812e2c1,14
18124,M_ID_216ad0d6e8,20
18125,M_ID_216b5d9c5e,1
18126,M_ID_216bef5288,9
18127,M_ID_216bf8543b,13
18128,M_ID_216da58b88,9
18129,M_ID_216dfa4d4e,17
18130,M_ID_216e1177f2,15
18131,M_ID_216f43c07e,14
18132,M_ID_2170c50991,15
18133,M_ID_2171e0c6f5,13
18134,M_ID_21720efbe9,15
18135,M_ID_217253338e,11
18136,M_ID_2172ebe095,17
18137,M_ID_2174d69e47,12
18138,M_ID_217554525c,17
18139,M_ID_2175691f44,1
18140,M_ID_21758e2b6d,20
18141,M_ID_2178a15e01,19
18142,M_ID_2179dcaa66,15
18143,M_ID_217a061999,15
18144,M_ID_217a11d7ca,0
18145,M_ID_217a361576,16
18146,M_ID_217a71754f,8
18147,M_ID_217ae7ead6,1
18148,M_ID_217b5df5c3,17
18149,M_ID_217b886c93,13
18150,M_ID_217bcc3dad,13
18151,M_ID_217bd3a157,1
18152,M_ID_217c947ef5,1
18153,M_ID_217d8380ea,2
18154,M_ID_217d9ee906,11
18155,M_ID_217e49b773,17
18156,M_ID_217e5f9ae0,6
18157,M_ID_217e7d9424,0
18158,M_ID_217ea1e2d5,0
18159,M_ID_217eba71e7,8
18160,M_ID_217f98bfdd,15
18161,M_ID_217fc2c0e6,2
18162,M_ID_217fe675d5,11
18163,M_ID_218030202d,0
18164,M_ID_218043cf36,11
18165,M_ID_2180602ca2,1
18166,M_ID_2180d77ac4,11
18167,M_ID_218143fee8,17
18168,M_ID_21819a5a56,15
18169,M_ID_2181b8a46f,15
18170,M_ID_21828cfab2,13
18171,M_ID_21834f3853,2
18172,M_ID_21837ec0d3,2
18173,M_ID_2183b6f079,17
18174,M_ID_218575c012,2
18175,M_ID_2185799af5,16
18176,M_ID_218607b76a,8
18177,M_ID_2187338a91,1
18178,M_ID_2187695b40,1
18179,M_ID_2187d1c26b,8
18180,M_ID_21884dfcf7,8
18181,M_ID_21888b349c,15
18182,M_ID_21889a15d7,2
18183,M_ID_2188a5c51a,2
18184,M_ID_21894c5c72,8
18185,M_ID_2189709d7c,14
18186,M_ID_218984e7e4,1
18187,M_ID_218a9642bd,6
18188,M_ID_218b086a4d,2
18189,M_ID_218c52b9ba,6
18190,M_ID_218cdaf2ba,6
18191,M_ID_218ce35684,2
18192,M_ID_218e4e8768,1
18193,M_ID_218e91aa45,9
18194,M_ID_218eadc673,0
18195,M_ID_218ecbe044,8
18196,M_ID_218eea6cd5,15
18197,M_ID_218efcca7e,14
18198,M_ID_218f742410,11
18199,M_ID_218fc636b6,8
18200,M_ID_21903cbbf5,15
18201,M_ID_219071f73c,9
18202,M_ID_2190b076df,1
18203,M_ID_219153da2b,0
18204,M_ID_2191dbb1b2,2
18205,M_ID_2192692543,1
18206,M_ID_219475b6dc,1
18207,M_ID_2196c2cb4a,8
18208,M_ID_2196c56d89,19
18209,M_ID_2197588867,13
18210,M_ID_219790710f,12
18211,M_ID_21983fb3bf,17
18212,M_ID_21984a7660,14
18213,M_ID_2199f27ca5,13
18214,M_ID_219a487a28,8
18215,M_ID_219adde76c,1
18216,M_ID_219b5d3814,2
18217,M_ID_219b6907f5,19
18218,M_ID_219cb1e7b9,2
18219,M_ID_219cc3fc31,8
18220,M_ID_219ce928dd,14
18221,M_ID_219d0e8447,16
18222,M_ID_219ddeac71,0
18223,M_ID_219de8230c,0
18224,M_ID_219e549b59,14
18225,M_ID_219ea499e8,13
18226,M_ID_219ebd2992,11
18227,M_ID_21a1c03546,17
18228,M_ID_21a216bfe2,14
18229,M_ID_21a3db5418,1
18230,M_ID_21a408b3ea,9
18231,M_ID_21a4121dba,20
18232,M_ID_21a41b70e3,13
18233,M_ID_21a5a5729c,17
18234,M_ID_21a5bdbb3e,13
18235,M_ID_21a61cb59f,6
18236,M_ID_21a707d1e3,14
18237,M_ID_21a714bcbf,11
18238,M_ID_21a7379a52,10
18239,M_ID_21a7e660ba,1
18240,M_ID_21a8d05a89,0
18241,M_ID_21a9685059,17
18242,M_ID_21a9b76bde,17
18243,M_ID_21aa1397bb,13
18244,M_ID_21aa1a8c20,8
18245,M_ID_21aa216233,1
18246,M_ID_21aa475737,2
18247,M_ID_21aa516720,6
18248,M_ID_21aa59f9f9,11
18249,M_ID_21aa91bfce,11
18250,M_ID_21ab998b63,11
18251,M_ID_21aba59987,11
18252,M_ID_21abf0dc1d,17
18253,M_ID_21ac3f2062,15
18254,M_ID_21ac57d7ad,15
18255,M_ID_21acd48cf2,15
18256,M_ID_21acd94c7d,13
18257,M_ID_21ad251e25,1
18258,M_ID_21ada84873,17
18259,M_ID_21adbe5ee0,0
18260,M_ID_21aedaf5b3,5
18261,M_ID_21af886bd8,1
18262,M_ID_21afb27f80,16
18263,M_ID_21afb4b879,8
18264,M_ID_21b0ac1986,2
18265,M_ID_21b0f58ec3,0
18266,M_ID_21b1541b1e,2
18267,M_ID_21b17e671a,1
18268,M_ID_21b1a64261,16
18269,M_ID_21b339b0a5,2
18270,M_ID_21b3f091ed,8
18271,M_ID_21b4e55d1d,11
18272,M_ID_21b647e1c3,1
18273,M_ID_21b65bc1d0,15
18274,M_ID_21b6fa51ac,13
18275,M_ID_21b8a3a739,2
18276,M_ID_21b969571b,14
18277,M_ID_21b99930e7,1
18278,M_ID_21ba17b222,1
18279,M_ID_21ba1d4a22,17
18280,M_ID_21bac3bc3a,21
18281,M_ID_21bacfcf5e,0
18282,M_ID_21bb6cf325,17
18283,M_ID_21bb731ef8,1
18284,M_ID_21bb95ebbe,13
18285,M_ID_21bc0084cd,14
18286,M_ID_21bcfbb0c6,12
18287,M_ID_21bd53e362,14
18288,M_ID_21bdbaaba5,13
18289,M_ID_21be0a6a5a,14
18290,M_ID_21be83a3ce,17
18291,M_ID_21bee3f3b6,1
18292,M_ID_21bf3b3bbc,1
18293,M_ID_21bf865853,0
18294,M_ID_21c13260e3,1
18295,M_ID_21c26af10a,17
18296,M_ID_21c288ae76,17
18297,M_ID_21c30b15c0,2
18298,M_ID_21c34c4864,1
18299,M_ID_21c374a8e9,6
18300,M_ID_21c396b589,14
18301,M_ID_21c400c421,11
18302,M_ID_21c40fdc9a,17
18303,M_ID_21c412b26e,9
18304,M_ID_21c509b90e,14
18305,M_ID_21c5e60c19,8
18306,M_ID_21c6de6fb9,17
18307,M_ID_21c718ecdd,12
18308,M_ID_21c7404ad0,11
18309,M_ID_21c77c7432,21
18310,M_ID_21c8204b75,21
18311,M_ID_21c87196f0,11
18312,M_ID_21c8c69119,6
18313,M_ID_21cb247c46,11
18314,M_ID_21cd76b5a7,13
18315,M_ID_21cdc919e2,2
18316,M_ID_21cea12a13,16
18317,M_ID_21d035d3c0,11
18318,M_ID_21d0cf91c2,17
18319,M_ID_21d18c0646,15
18320,M_ID_21d22262d0,14
18321,M_ID_21d233244f,8
18322,M_ID_21d23cd547,14
18323,M_ID_21d2768af5,14
18324,M_ID_21d28da213,8
18325,M_ID_21d296b136,8
18326,M_ID_21d39bc053,11
18327,M_ID_21d3d9b911,14
18328,M_ID_21d579904b,15
18329,M_ID_21d64616be,17
18330,M_ID_21d661053a,2
18331,M_ID_21d67878cb,17
18332,M_ID_21d7966d88,2
18333,M_ID_21d8408fa8,14
18334,M_ID_21d925d6e0,13
18335,M_ID_21d96232bb,15
18336,M_ID_21da508086,15
18337,M_ID_21dba6b6d5,15
18338,M_ID_21dcdc1674,11
18339,M_ID_21dcdffe49,12
18340,M_ID_21dd3d61ff,11
18341,M_ID_21dd87cc74,0
18342,M_ID_21ddf690a4,13
18343,M_ID_21de0b9f0f,15
18344,M_ID_21de145064,0
18345,M_ID_21de85ab2c,17
18346,M_ID_21de9efbd9,17
18347,M_ID_21dfa017a6,12
18348,M_ID_21e022ee48,2
18349,M_ID_21e096649f,12
18350,M_ID_21e2181e45,14
18351,M_ID_21e2c712e3,20
18352,M_ID_21e38fc260,1
18353,M_ID_21e513dceb,1
18354,M_ID_21e5f3cdb0,15
18355,M_ID_21e67192f2,17
18356,M_ID_21e67f0bb9,0
18357,M_ID_21e7f02cc6,14
18358,M_ID_21e8629d58,17
18359,M_ID_21e91154ef,8
18360,M_ID_21ea5561e0,14
18361,M_ID_21ea63d457,13
18362,M_ID_21ecff4970,14
18363,M_ID_21ed0f20c1,17
18364,M_ID_21edf39d5b,15
18365,M_ID_21ee30b25a,14
18366,M_ID_21ef111f51,1
18367,M_ID_21ef2abb20,15
18368,M_ID_21ef3f2135,1
18369,M_ID_21ef60d40d,8
18370,M_ID_21f02712a9,19
18371,M_ID_21f13bef0c,11
18372,M_ID_21f1585175,11
18373,M_ID_21f198ea54,2
18374,M_ID_21f1bc942a,11
18375,M_ID_21f1bf7a88,8
18376,M_ID_21f248f875,13
18377,M_ID_21f389525e,21
18378,M_ID_21f49b5783,17
18379,M_ID_21f4b86f27,13
18380,M_ID_21f5c2bf31,14
18381,M_ID_21f6f18cb8,0
18382,M_ID_21f771b666,15
18383,M_ID_21f8461cf6,2
18384,M_ID_21f90d6c15,17
18385,M_ID_21f9fe743a,16
18386,M_ID_21f9ffcf8c,12
18387,M_ID_21fb9c938a,9
18388,M_ID_21fbed02a4,1
18389,M_ID_21fc077816,8
18390,M_ID_21fd36d97c,17
18391,M_ID_21ff44f9f6,19
18392,M_ID_2200af7ec9,13
18393,M_ID_2200d1e95f,1
18394,M_ID_22016392c9,16
18395,M_ID_22026e7b45,11
18396,M_ID_22028000e5,0
18397,M_ID_220364be8c,13
18398,M_ID_22045abc23,11
18399,M_ID_2204b12b8b,20
18400,M_ID_2205cd7314,15
18401,M_ID_2206227c92,11
18402,M_ID_220715650e,1
18403,M_ID_220756175a,1
18404,M_ID_2208e714ff,11
18405,M_ID_2209b7fd2b,15
18406,M_ID_2209d90537,10
18407,M_ID_220effd759,1
18408,M_ID_220fc975ee,20
18409,M_ID_2210411f9f,10
18410,M_ID_22107e6d70,12
18411,M_ID_221125e39c,10
18412,M_ID_2211875d94,10
18413,M_ID_2211d01c47,8
18414,M_ID_22122b645c,17
18415,M_ID_22123f98fc,16
18416,M_ID_221305aae0,13
18417,M_ID_2213886923,17
18418,M_ID_2214f6047e,17
18419,M_ID_22151dbfac,15
18420,M_ID_22152d566d,13
18421,M_ID_221586c451,13
18422,M_ID_2216b8af10,17
18423,M_ID_221716f226,1
18424,M_ID_221829b4b1,13
18425,M_ID_22185fe834,1
18426,M_ID_2219cf6b00,1
18427,M_ID_221a22efaf,11
18428,M_ID_221a597c37,11
18429,M_ID_221b7be4c6,17
18430,M_ID_221c92e4d9,8
18431,M_ID_221cae1634,13
18432,M_ID_221dd2183e,6
18433,M_ID_221e9be0eb,6
18434,M_ID_221ef2cab8,2
18435,M_ID_221f2973f7,15
18436,M_ID_221f82b588,9
18437,M_ID_221faf5ceb,11
18438,M_ID_221fe9f066,17
18439,M_ID_22208c91e9,14
18440,M_ID_222250c423,14
18441,M_ID_2222dadd68,14
18442,M_ID_2222e1d0a7,14
18443,M_ID_222412a663,13
18444,M_ID_2224374e50,15
18445,M_ID_2224d8bc03,13
18446,M_ID_2225f81b24,13
18447,M_ID_22260d9c02,17
18448,M_ID_22279dbfc6,12
18449,M_ID_22280f2dd2,17
18450,M_ID_222862b0cf,6
18451,M_ID_22290db5a7,9
18452,M_ID_2229275ed8,13
18453,M_ID_222a9095c1,11
18454,M_ID_222ab5c2a6,16
18455,M_ID_222ad1783f,8
18456,M_ID_222b5562ac,15
18457,M_ID_222c2a79e4,17
18458,M_ID_222cc56a43,20
18459,M_ID_222d02e58c,19
18460,M_ID_222dcdaa34,1
18461,M_ID_222e5202d3,8
18462,M_ID_222e915e77,6
18463,M_ID_22306fde6e,11
18464,M_ID_2230a02746,19
18465,M_ID_2230bd99a1,1
18466,M_ID_2231305579,1
18467,M_ID_223205cd0b,1
18468,M_ID_22326e45c0,11
18469,M_ID_2232a0ec7c,2
18470,M_ID_22342dba97,11
18471,M_ID_2234527bf7,8
18472,M_ID_2235db89b9,6
18473,M_ID_22360595e6,12
18474,M_ID_22368a3581,2
18475,M_ID_2236f2eeb1,13
18476,M_ID_22374e8422,15
18477,M_ID_2237e43e3d,1
18478,M_ID_22381fa0c8,2
18479,M_ID_223870b718,2
18480,M_ID_2238d2ef43,19
18481,M_ID_2239443dd3,2
18482,M_ID_223957808c,11
18483,M_ID_2239625980,17
18484,M_ID_223995a834,1
18485,M_ID_223a406a72,15
18486,M_ID_223a5d6a75,2
18487,M_ID_223afa6fea,10
18488,M_ID_223b11e29b,11
18489,M_ID_223bb870d3,2
18490,M_ID_223c6c29bc,19
18491,M_ID_223cd05464,10
18492,M_ID_223d6d5fc3,8
18493,M_ID_223de3c881,1
18494,M_ID_223ebb564f,13
18495,M_ID_223f06dd92,0
18496,M_ID_223f70933b,12
18497,M_ID_223fce3112,17
18498,M_ID_2241676b10,11
18499,M_ID_2241cdbd7b,0
18500,M_ID_2241dee12e,8
18501,M_ID_2241e46e1b,20
18502,M_ID_22439dec56,14
18503,M_ID_2243cae2b8,15
18504,M_ID_2243e1b084,17
18505,M_ID_224663ca63,14
18506,M_ID_2246a4d4ec,17
18507,M_ID_22478b974f,13
18508,M_ID_224a1a2406,11
18509,M_ID_224a348ada,1
18510,M_ID_224ac61998,2
18511,M_ID_224ae93bc5,17
18512,M_ID_224b6bd2e1,13
18513,M_ID_224b76be5d,2
18514,M_ID_224b94c39c,0
18515,M_ID_224b9c50b8,15
18516,M_ID_224c546e1a,2
18517,M_ID_224cbf1b79,15
18518,M_ID_224dd67b0b,11
18519,M_ID_224e2fbb87,1
18520,M_ID_224eccd626,2
18521,M_ID_224f1092b1,16
18522,M_ID_224fb03c8c,19
18523,M_ID_22506f241a,2
18524,M_ID_2250a0747d,8
18525,M_ID_2250e9c793,13
18526,M_ID_22510e3248,1
18527,M_ID_2253330731,13
18528,M_ID_2253b9cb43,17
18529,M_ID_2253df0f90,14
18530,M_ID_225542ff3d,15
18531,M_ID_22556ca3c5,1
18532,M_ID_2255a77bb4,19
18533,M_ID_22564c95e1,1
18534,M_ID_2258181e46,9
18535,M_ID_2258a5f094,12
18536,M_ID_22596e1502,13
18537,M_ID_225a301589,6
18538,M_ID_225a5b2449,14
18539,M_ID_225aaeea2c,11
18540,M_ID_225ac9b307,17
18541,M_ID_225b32f0b9,14
18542,M_ID_225ca17330,11
18543,M_ID_225cad72e3,15
18544,M_ID_225de903db,15
18545,M_ID_225e527c2b,1
18546,M_ID_225e7590b0,6
18547,M_ID_225ea85c50,8
18548,M_ID_225f6c1243,2
18549,M_ID_225fe2f128,6
18550,M_ID_2260b5cbfe,11
18551,M_ID_2262c285f7,13
18552,M_ID_2262edc055,1
18553,M_ID_2263633190,13
18554,M_ID_2263680f72,19
18555,M_ID_22639728f8,17
18556,M_ID_226418c0f6,0
18557,M_ID_2264666fa2,15
18558,M_ID_226472def3,20
18559,M_ID_2264ce5498,15
18560,M_ID_22651cc223,17
18561,M_ID_2265fc4bf5,15
18562,M_ID_22662705bd,19
18563,M_ID_226652f7d1,13
18564,M_ID_22672f523a,15
18565,M_ID_226765839d,8
18566,M_ID_22684a4f7a,15
18567,M_ID_2268a8f144,17
18568,M_ID_2268b201b1,9
18569,M_ID_226af05e20,11
18570,M_ID_226b08ba96,13
18571,M_ID_226b39a1d5,17
18572,M_ID_226ccc07b8,17
18573,M_ID_226d30f668,8
18574,M_ID_226d362df9,1
18575,M_ID_226e3bac18,0
18576,M_ID_226f4f477c,6
18577,M_ID_2270576f50,13
18578,M_ID_2271769b5d,13
18579,M_ID_2271a9deb6,11
18580,M_ID_2272807f4a,17
18581,M_ID_227344b3c8,2
18582,M_ID_22739e5879,6
18583,M_ID_2274e0c481,1
18584,M_ID_2274ec4d31,10
18585,M_ID_2275a1330f,13
18586,M_ID_2275e599e1,13
18587,M_ID_227604bab9,2
18588,M_ID_227620e9ce,15
18589,M_ID_2278032579,1
18590,M_ID_227814ade4,15
18591,M_ID_22789cfc34,2
18592,M_ID_2278bcc985,11
18593,M_ID_22791c4a4b,12
18594,M_ID_2279951f05,2
18595,M_ID_2279aac90f,13
18596,M_ID_2279b95912,21
18597,M_ID_2279e32f4c,1
18598,M_ID_2279eccb49,8
18599,M_ID_2279f5dbd9,20
18600,M_ID_227a7ca555,14
18601,M_ID_227a842cc5,0
18602,M_ID_227bdce4e2,13
18603,M_ID_227bf5ec30,0
18604,M_ID_227c38b465,11
18605,M_ID_227c86a0c2,2
18606,M_ID_227cdd7b03,10
18607,M_ID_227d713dcb,1
18608,M_ID_22802532ed,2
18609,M_ID_22804ad9d9,19
18610,M_ID_228116cbe7,11
18611,M_ID_2281494456,8
18612,M_ID_228266ed97,17
18613,M_ID_228317daf1,17
18614,M_ID_2283682771,1
18615,M_ID_2283f46e0f,11
18616,M_ID_2283f7dc7f,13
18617,M_ID_2284394a5a,15
18618,M_ID_228490c5bd,2
18619,M_ID_2285b2093e,17
18620,M_ID_22871f7ece,8
18621,M_ID_2287617a86,8
18622,M_ID_22878057b5,0
18623,M_ID_22879aa518,1
18624,M_ID_2287f8f969,16
18625,M_ID_2288c1daf8,1
18626,M_ID_22890b9899,1
18627,M_ID_2289663c96,11
18628,M_ID_228a25f43f,13
18629,M_ID_228a7d9bc2,19
18630,M_ID_228b70180b,0
18631,M_ID_228ca02c84,1
18632,M_ID_228cff9212,13
18633,M_ID_228da6ee70,15
18634,M_ID_228e6ade43,11
18635,M_ID_228e8be536,1
18636,M_ID_228f20ab8e,17
18637,M_ID_228f2de5f6,8
18638,M_ID_228f371439,19
18639,M_ID_228f63b48b,14
18640,M_ID_22905bd8d2,1
18641,M_ID_2290c3bcb7,14
18642,M_ID_2290f1c340,6
18643,M_ID_2291c44baf,15
18644,M_ID_2291f13cdf,12
18645,M_ID_22921d279c,11
18646,M_ID_229288d1fd,11
18647,M_ID_2292a460d8,8
18648,M_ID_2292d9abf5,2
18649,M_ID_2292f5e4ec,2
18650,M_ID_2293f174c6,20
18651,M_ID_229400ca09,1
18652,M_ID_2294a3dba4,1
18653,M_ID_2295dafc62,17
18654,M_ID_22961dbff5,13
18655,M_ID_22969d2c88,6
18656,M_ID_2296afba13,10
18657,M_ID_2296bf5028,1
18658,M_ID_22972734a0,1
18659,M_ID_229746392c,15
18660,M_ID_2297c5e8df,8
18661,M_ID_229817b3ed,11
18662,M_ID_22987559f7,17
18663,M_ID_2298c84bb0,1
18664,M_ID_2299079b9d,12
18665,M_ID_229ae9c927,13
18666,M_ID_229cd96c16,6
18667,M_ID_229e01c1a4,0
18668,M_ID_229e0b9d18,11
18669,M_ID_229f453b0e,12
18670,M_ID_229f536e3f,14
18671,M_ID_229f657d00,6
18672,M_ID_229fd135b1,1
18673,M_ID_22a068782b,11
18674,M_ID_22a098a7ee,1
18675,M_ID_22a0c2e017,11
18676,M_ID_22a0cc8213,20
18677,M_ID_22a2c812d1,6
18678,M_ID_22a2e6549b,1
18679,M_ID_22a2f6190d,13
18680,M_ID_22a32fbe53,14
18681,M_ID_22a3883e13,17
18682,M_ID_22a3a142d7,10
18683,M_ID_22a3a948ba,13
18684,M_ID_22a472f06d,3
18685,M_ID_22a49c07c2,20
18686,M_ID_22a4d2df5c,2
18687,M_ID_22a4f0d3df,13
18688,M_ID_22a7406735,8
18689,M_ID_22a76d196b,15
18690,M_ID_22a9ccbce9,19
18691,M_ID_22ab700dbd,13
18692,M_ID_22ab7f0539,15
18693,M_ID_22abc579a1,13
18694,M_ID_22abdb7d18,11
18695,M_ID_22abefeb94,15
18696,M_ID_22ace00525,11
18697,M_ID_22acf09880,19
18698,M_ID_22ad21796a,17
18699,M_ID_22ade43533,1
18700,M_ID_22ae351c96,7
18701,M_ID_22af7a9556,15
18702,M_ID_22afb674e9,14
18703,M_ID_22b0f2b45c,11
18704,M_ID_22b17a674a,0
18705,M_ID_22b3b8eec2,9
18706,M_ID_22b3c7c7e3,14
18707,M_ID_22b6031ae1,1
18708,M_ID_22b623f9ce,16
18709,M_ID_22b63fdf6d,1
18710,M_ID_22b6c218d1,0
18711,M_ID_22b78f321f,2
18712,M_ID_22b849feff,1
18713,M_ID_22b84ea9e7,2
18714,M_ID_22b9625434,0
18715,M_ID_22b9accd7c,2
18716,M_ID_22b9bcf2c8,11
18717,M_ID_22bb12f882,17
18718,M_ID_22bba78ae4,0
18719,M_ID_22bcaded1a,6
18720,M_ID_22bcdebb64,13
18721,M_ID_22bd2f2274,15
18722,M_ID_22bd9e8516,1
18723,M_ID_22be2ee093,6
18724,M_ID_22c03c2572,15
18725,M_ID_22c0b08d9b,13
18726,M_ID_22c168ad84,13
18727,M_ID_22c17245d3,8
18728,M_ID_22c24c7adc,8
18729,M_ID_22c281a835,2
18730,M_ID_22c40993a6,19
18731,M_ID_22c42bfc1f,2
18732,M_ID_22c4373bdb,1
18733,M_ID_22c6d71ea0,14
18734,M_ID_22c71b97ed,1
18735,M_ID_22c72e5274,15
18736,M_ID_22c736ae5f,8
18737,M_ID_22c75c2920,12
18738,M_ID_22c9cfa265,5
18739,M_ID_22cb52d184,2
18740,M_ID_22cb8cafd6,1
18741,M_ID_22cbfb017e,1
18742,M_ID_22cc29257b,15
18743,M_ID_22cd859564,15
18744,M_ID_22cdcbeb90,15
18745,M_ID_22ce19cd14,11
18746,M_ID_22cefdd685,16
18747,M_ID_22cf384e98,1
18748,M_ID_22cfa8b218,14
18749,M_ID_22cfefd04b,1
18750,M_ID_22d10a758e,1
18751,M_ID_22d1ac0a8d,15
18752,M_ID_22d774633b,19
18753,M_ID_22d7bf7ace,20
18754,M_ID_22d8be40d7,13
18755,M_ID_22d8d7604e,20
18756,M_ID_22d91dd2d5,17
18757,M_ID_22d95454ea,0
18758,M_ID_22db16e79a,1
18759,M_ID_22db8513e4,2
18760,M_ID_22dba0c2d5,11
18761,M_ID_22dc12b6da,1
18762,M_ID_22dcc57f91,11
18763,M_ID_22dcc76694,16
18764,M_ID_22dd835d55,13
18765,M_ID_22dd92bbfe,11
18766,M_ID_22de207652,2
18767,M_ID_22deeaf661,19
18768,M_ID_22dfbc9702,16
18769,M_ID_22e1f20f96,8
18770,M_ID_22e2072a81,1
18771,M_ID_22e3a41ed8,7
18772,M_ID_22e429def8,8
18773,M_ID_22e4b86b04,0
18774,M_ID_22e4e3e4c2,6
18775,M_ID_22e54627b3,17
18776,M_ID_22e5b7c2be,13
18777,M_ID_22e5c1bdc3,1
18778,M_ID_22e64579d9,17
18779,M_ID_22e6875c0d,11
18780,M_ID_22e6d3d337,0
18781,M_ID_22e7bdc142,8
18782,M_ID_22e7c8dc7a,13
18783,M_ID_22e9ea59c8,1
18784,M_ID_22ea2d312c,1
18785,M_ID_22ea9174b1,17
18786,M_ID_22ea9b3373,2
18787,M_ID_22eac21406,13
18788,M_ID_22eae5a3d6,11
18789,M_ID_22eafc87cb,11
18790,M_ID_22eb10140e,6
18791,M_ID_22eb6979a1,12
18792,M_ID_22ec6529c8,1
18793,M_ID_22ec8c00db,15
18794,M_ID_22ed013134,19
18795,M_ID_22ed692dec,13
18796,M_ID_22ed7ad0a5,17
18797,M_ID_22ee661905,1
18798,M_ID_22ee71debc,9
18799,M_ID_22ee9d0439,17
18800,M_ID_22eeb27f6c,19
18801,M_ID_22eef9f77b,15
18802,M_ID_22ef1d5ee8,19
18803,M_ID_22f0b9c157,11
18804,M_ID_22f141704b,14
18805,M_ID_22f15a1581,12
18806,M_ID_22f1aa7839,9
18807,M_ID_22f1c431c6,16
18808,M_ID_22f1cbad19,12
18809,M_ID_22f1e676fc,17
18810,M_ID_22f25f194d,6
18811,M_ID_22f2adb01d,20
18812,M_ID_22f2bc7a20,11
18813,M_ID_22f2c1ad31,16
18814,M_ID_22f2e3b036,15
18815,M_ID_22f386e193,14
